sample_id,reference,hypothesis,reference_norm,hypothesis_norm,wer,category
fleurs-1750,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır, Bu tapında həm də quş lələklərinin təkamül haqqında təsəbbür yaratır.,bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır, bu tapında həm də quş lələklərinin təkamül haqqında təsəbbür yaratır ,0.4,
fleurs-1893,sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır," Sundarbán dünyanın ən böyük sahəlyanın Mangurov bölgəsidir və sahildən Bangladır və Hindistanın inşəlilərinə doğru 80 km, 50 mil uzanır.",sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır, sundarbán dünyanın ən böyük sahəlyanın mangurov bölgəsidir və sahildən bangladır və hindistanın inşəlilərinə doğru 80 km 50 mil uzanır ,0.2632,
fleurs-1957,o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı," O, bütün bu şahiyyələri siyasi boşboğazlıq və axmalqlıq adlandırırdı.",o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı, o bütün bu şahiyyələri siyasi boşboğazlıq və axmalqlıq adlandırırdı ,0.3333,
fleurs-1840,mərasimin i̇taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı," Mərasimin İtaliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində, xüsusilə də Polşada geniş insan kütülərə tərəfindən izlənməsi üçün həmin yerlərə eyni şəkildə nəhə ki ekraqımlar quraşdırılırdı.",mərasimin i taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı, mərasimin i taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütülərə tərəfindən izlənməsi üçün həmin yerlərə eyni şəkildə nəhə ki ekraqımlar quraşdırılırdı ,0.2143,
fleurs-1930,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı, Fülübbinnin fotograflar kimi uşaqlar və yaşlılar da daxil altı əsir sərbəs buraxıldı.,filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı, fülübbinnin fotograflar kimi uşaqlar və yaşlılar da daxil altı əsir sərbəs buraxıldı ,0.4167,
fleurs-1920,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər, Konaklara rüq yüksəkliyini qorumak və onların həmin yerdə konaklanmasını təmin etmək üçün onlar adətən xüsusi yemek içmək və əyləncə təklif edirlər.,qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək içmək və əyləncə təklif edirlər, konaklara rüq yüksəkliyini qorumak və onların həmin yerdə konaklanmasını təmin etmək üçün onlar adətən xüsusi yemek içmək və əyləncə təklif edirlər ,0.2381,
fleurs-1877,dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi," Dünən aqşam Buoynus ayristən 50 km, 31 mil məsafədə yerləşən Laplatı şəhərində hazırki senatır varqin Sinan 1-ci xanımı Kristina Fernandez də Kirçner prezidentli namizətliyini elan etdi.",dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi, dünən aqşam buoynus ayristən 50 km 31 mil məsafədə yerləşən laplatı şəhərində hazırki senatır varqin sinan 1 ci xanımı kristina fernandez də kirçner prezidentli namizətliyini elan etdi ,0.4815,
fleurs-1903,mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər," Mövcud bütün resurslardan biri qurumun funksiyonal departmetlərində effektiv bir şəkildə istifadə olunursa, yaratıcılığı və ustalığı ortaya çıxabilir.",mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər, mövcud bütün resurslardan biri qurumun funksiyonal departmetlərində effektiv bir şəkildə istifadə olunursa yaratıcılığı və ustalığı ortaya çıxabilir ,0.3889,
fleurs-1852,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002," Tələbələr bloglarda uyğun istifadə edənlərlər, analitik və təngidi bacarıqları müəkkəmləndirə bilər, təsdəsi internet materyalarını mürayi cət edib, başqalarının yazılları əsasində bir mövqü ortaya koya, həmsinin xüsuslu mövzularda öz prospektiblərini müəyyən edə bilərlər.",tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər tez tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002, tələbələr bloglarda uyğun istifadə edənlərlər analitik və təngidi bacarıqları müəkkəmləndirə bilər təsdəsi internet materyalarını mürayi cət edib başqalarının yazılları əsasində bir mövqü ortaya koya həmsinin xüsuslu mövzularda öz prospektiblərini müəyyən edə bilərlər ,0.5588,
fleurs-1958,afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir, Afrikadın daha çox ərəb ruhunun soğunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddə təşkil edir.,afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir, afrikadın daha çox ərəb ruhunun soğunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddə təşkil edir ,0.2353,
fleurs-1892,bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz," Bura Britaniya Kalonistlərinin mənimsədikləri yeridir. Buna görə də əgər böygənin müstəmləki tarixi ilə ala qəlib ilə dərir axtarırsınızsa, buradan başlayabilərsiniz.",bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz, bura britaniya kalonistlərinin mənimsədikləri yeridir buna görə də əgər böygənin müstəmləki tarixi ilə ala qəlib ilə dərir axtarırsınızsa buradan başlayabilərsiniz ,0.5,
fleurs-1670,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir," ABUS-un Geoloji Xütmətlər Bürosunun Astrologiya Həyətindən və Arizona şılatının Flux-Duff şəhərində yerləşən Şimali Arizona ümvizitetindən olan Glencushində deyiləndə görə, onların thermal hərəkətləri, yery planetindəki kifaya qədər davamlı temperaturu təsiz dəhsəkləyən böyük mağaralarda olanlar qədər stabildir. Ancaq bu həmin dərin dəliklərin torpaqlı olması ilə əlaqəlidir.",abş ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir, abus un geoloji xütmətlər bürosunun astrologiya həyətindən və arizona şılatının flux duff şəhərində yerləşən şimali arizona ümvizitetindən olan glencushində deyiləndə görə onların thermal hərəkətləri yery planetindəki kifaya qədər davamlı temperaturu təsiz dəhsəkləyən böyük mağaralarda olanlar qədər stabildir ancaq bu həmin dərin dəliklərin torpaqlı olması ilə əlaqəlidir ,0.4167,
fleurs-1716,əyləncəli xəbərlər veb-saytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür," Eyləncelik xəbərlər web site TMZ fotografin öz automobilini Sapul Veda Bulvarının digər tərəfində saxladığı yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərinin çəkməyə çalışdığını nəticədə, Kaliforniya dövlət yol patrul xidmətinin, polis zabitinin onu geri qətərmalı olduğunu söylemək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür.",əyləncəli xəbərlər veb saytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür, eyləncelik xəbərlər web site tmz fotografin öz automobilini sapul veda bulvarının digər tərəfində saxladığı yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərinin çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin onu geri qətərmalı olduğunu söylemək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür ,0.2727,
fleurs-1879,bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır," Bu halda, bizə yalnız yeni bir ixtiradan sonra klaviyaturu onun nəyə yanılacağını təxmin etmək qalır.",bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır, bu halda bizə yalnız yeni bir ixtiradan sonra klaviyaturu onun nəyə yanılacağını təxmin etmək qalır ,0.2143,
fleurs-1859,qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi, Qərbi-Avropa həyat tərzini orta sirdlərin sonlarında təkmilləşdirməyə başladı. Dövrün ən böyük yeniliklərinən biri də səlib yürüşlərin ətkəsində insanların paltarlarını bağlamaq üçün tümələrdən istihad etməyə başlaması idi.,qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi, qərbi avropa həyat tərzini orta sirdlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərinən biri də səlib yürüşlərin ətkəsində insanların paltarlarını bağlamaq üçün tümələrdən istihad etməyə başlaması idi ,0.2222,
fleurs-1953,onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi, Onun sonradan köçürüldü adın brook xəstəxanası Cambridge də idi.,onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi, onun sonradan köçürüldü adın brook xəstəxanası cambridge də idi ,0.7143,
fleurs-1674,bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər," Bövgələrin bəzlərində suyu 1 dəyə qaynatmağa yətəllə olsala, digərlərində bu 1 neçə dəyə qəşəkə bilər.",bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər, bövgələrin bəzlərində suyu 1 dəyə qaynatmağa yətəllə olsala digərlərində bu 1 neçə dəyə qəşəkə bilər ,0.625,
fleurs-1705,15 avqust 1940-cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi, 15 avqust 1940-cu ildə mütəfiqlər Canabi Fransana işğal etdilər. İşğal planının adı Dragon əməliyatı idi.,15 avqust 1940 cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi, 15 avqust 1940 cu ildə mütəfiqlər canabi fransana işğal etdilər i şğal planının adı dragon əməliyatı idi ,0.5,
fleurs-1695,xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir," Xüsusilə də yay aylarında sardar populər bir akşam yeməyi zeytun yağlığı, pamidovlulu və pendir və tombalığı kimi istənilən əvzaqla doldurulmuş pa amb oli adalanan çörəkdir.",xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir, xüsusilə də yay aylarında sardar populər bir akşam yeməyi zeytun yağlığı pamidovlulu və pendir və tombalığı kimi istənilən əvzaqla doldurulmuş pa amb oli adalanan çörəkdir ,0.3462,
fleurs-2003,honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin, Hong Kongun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı Cobblone sahilindən gedin.,honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin, hong kongun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı cobblone sahilindən gedin ,0.3077,
fleurs-1660,romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir," Romantizm, kötə, fixtə və şləqəlik minyazlıların alınmış böyük mədəni bir determinizmin ünsürünə sahibdir.",romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir, romantizm kötə fixtə və şləqəlik minyazlıların alınmış böyük mədəni bir determinizmin ünsürünə sahibdir ,0.4286,
fleurs-1852,tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002," Tələbələr bloglardan uyğun istifadə edərək anaatik və təngidi bacarıqlarını möhkümləndirə bilər, təsdəs internet materiallarına müraciət edib, başqalarının yazılıqları əsasında bir mövki ortaya qoya, hərcəri xüsus mövzularda öz prospektivlərini müəyyən edə bilərlər.",tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər tez tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002, tələbələr bloglardan uyğun istifadə edərək anaatik və təngidi bacarıqlarını möhkümləndirə bilər təsdəs internet materiallarına müraciət edib başqalarının yazılıqları əsasında bir mövki ortaya qoya hərcəri xüsus mövzularda öz prospektivlərini müəyyən edə bilərlər ,0.3824,
fleurs-1971,şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır," Şiddətli küləklər dolu, hətta nataq yağış və meşə yağınları, fırtına, tufan, su buruğanları və qasırqalar kimi ağır hava şəratinin təsillərin təzahürü formasıdır.",şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır, şiddətli küləklər dolu hətta nataq yağış və meşə yağınları fırtına tufan su buruğanları və qasırqalar kimi ağır hava şəratinin təsillərin təzahürü formasıdır ,0.3636,
fleurs-1918,unesco dünya maddi i̇rs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı, UNESCO Dünya Maddi İrsiyahasına daxil edilər və Hindistan ərazisində olan Sundarban Meşəliyi Sundarban Milli Parkı olaraq adlandırdı.,unesco dünya maddi i rs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı, unesco dünya maddi i rsiyahasına daxil edilər və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırdı ,0.2105,
fleurs-1945,kasablanka bütün mərakeşdə alış-veriş etmək üçün ən cazib yerlərdən biridir, Kasabalanqa bütün mərakəşdə alış-veriş etmək üçün ən cazib yerlərdən biridir.,kasablanka bütün mərakeşdə alış veriş etmək üçün ən cazib yerlərdən biridir, kasabalanqa bütün mərakəşdə alış veriş etmək üçün ən cazib yerlərdən biridir ,0.1818,
fleurs-1843,jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib, Jurnalistlər şübhəllərin fotoşəkillərini və onlar haqqındaki başqa məlumatları yayarken təhlükəli sularda üzür deyə Dandi Universitetin profesoru Pamela Ferguson bildirib.,jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib, jurnalistlər şübhəllərin fotoşəkillərini və onlar haqqındaki başqa məlumatları yayarken təhlükəli sularda üzür deyə dandi universitetin profesoru pamela ferguson bildirib ,0.3158,
fleurs-1899,məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi, Məhəmmət dünyalı məsələlərə aid olunan mövzularda daha dərim maraq göstərirdi. O düşünmək üçün Nuh dağındakı Hir adlanan mağaraya çox sıqələrdir.,məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi, məhəmmət dünyalı məsələlərə aid olunan mövzularda daha dərim maraq göstərirdi o düşünmək üçün nuh dağındakı hir adlanan mağaraya çox sıqələrdir ,0.4762,
fleurs-1712,sundarban 1966-cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir, Sundarban 1966-cı ildən bəri vəşi təbiyyət qorxundur. Arazide indi 400 bengal pələnginin və təxminən 30 min xallı maralının olduğu hesab edilir.,sundarban 1966 cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir, sundarban 1966 cı ildən bəri vəşi təbiyyət qorxundur arazide indi 400 bengal pələnginin və təxminən 30 min xallı maralının olduğu hesab edilir ,0.3182,
